Complexity,Loss,Equation
1,0.33877516,"x0"
2,0.27008092,"cube(x0)"
3,0.23331894,"cube(erf(x0))"
4,0.20843631,"(x0 - tanh(x9))"
5,0.15724006,"((x0 * 1.4518051) - x8)"
6,0.12848443,"((x0 - tanh(x9)) * 2.4121444)"
7,0.0827736,"tanh(sign(x8 - x9) + x9)"
8,0.060169253,"tanh(sin(sign(x8 - x9) + x8))"
9,0.05286342,"tanh(tanh(erf(sign(x8 - x9)) + x4))"
10,0.049817156,"tanh(tanh(sign(x8 - x9) + atanh_clip(erf(x6))))"
11,0.048521653,"tanh(tanh(sign(x8 - x9) + (cube(x8) / 0.72370744)))"
12,0.047947355,"tanh(tanh(sin(sign(x8 - x9)) + (cube(x8) * 1.1935971)))"
14,0.0476883,"tanh(x3 - erf(sin((atanh_clip(x8) * 0.60346466) - sign(x2 - x9))))"
15,0.046145555,"tanh(erf(x3 - erf(sin((atanh_clip(x8) * 0.60346466) - sign(x2 - x8)))))"
16,0.045891363,"sin(tanh(x3 - erf(sin((atanh_clip(x8) * 0.60346466) - sign(erf(x2 - x9))))))"
19,0.04009332,"tanh(x3 - erf(cube(sin((atanh_clip(x8) * 0.60346466) - ceil(sign(atanh_clip(cube(erf(x2 - x9)))))))))"
